time,time_raw,flux
54958.0757491,54958.0757491,1006.4424102284572
54958.0961837,54958.0961837,756.4166660615904
54958.1166184,54958.1166184,701.9187549453279
54958.137053,54958.137053,736.3794578608675
54958.1574877,54958.1574877,486.0970542407523
54958.1779222,54958.1779222,514.9360084300293
54958.1983569,54958.1983569,509.1019535254049
54958.2187916,54958.2187916,457.9274432780751
54958.2392261,54958.2392261,350.7801427168703
54958.2596609,54958.2596609,457.213496419296
54958.2800955,54958.2800955,843.1049165664747
54958.30053,54958.30053,927.4800762164189
54958.3209647,54958.3209647,988.7664841939543
54958.3413994,54958.3413994,769.2356467070005
54958.361834,54958.361834,889.8153515684785
54958.3822686,54958.3822686,160.80481600902706
54958.4027033,54958.4027033,-138.38295351788554
54958.423138,54958.423138,256.16199442019666
54958.4435725,54958.4435725,30.038400150471432
54958.4640071,54958.4640071,210.70390561981264
54958.4844419,54958.4844419,220.77047975261792
54958.5048764,54958.5048764,128.8216369285012
54958.5253111,54958.5253111,98.82267751089844
54958.5457458,54958.5457458,-131.3435588789469
54958.5661803,54958.5661803,-34.10969799065086
54958.586615,54958.586615,-632.4988158986374
54958.6070496,54958.6070496,-582.3154940930797
54958.6274842,54958.6274842,-435.6858242648554
54958.647919,54958.647919,-159.13308878263751
54958.6683535,54958.6683535,-180.95858134743054
54958.6887883,54958.6887883,281.6242294212608
54958.7092229,54958.7092229,76.49922170103358
54958.7296574,54958.7296574,91.48390390951886
54958.7500921,54958.7500921,14.406971608356343
54958.7705268,54958.7705268,-347.37688838924043
54958.7909613,54958.7909613,22.280394504827825
54958.811396,54958.811396,108.71201825497386
54958.8318307,54958.8318307,90.0125194693596
54958.8522652,54958.8522652,284.35734977195716
54958.8726999,54958.8726999,354.5108607885512
54958.8931345,54958.8931345,166.35303355777486
54958.9135692,54958.9135692,109.54647408242232
54958.9340038,54958.9340038,216.33174650982164
54958.9544384,54958.9544384,105.20654290598682
54958.9748732,54958.9748732,59.547937419639936
54958.9953077,54958.9953077,-241.3224031210015
54959.0157423,54959.0157423,295.7357875829176
54959.0361769,54959.0361769,23.357748250004732
54959.0566116,54959.0566116,118.5219984303449
54959.0770462,54959.0770462,-302.9913848825727
54959.0974808,54959.0974808,-462.5050178464919
54959.1179155,54959.1179155,-565.4394314034957
54959.1383502,54959.1383502,-529.3795077821951
54959.1587848,54959.1587848,-338.73283551234715
54959.1792193,54959.1792193,-379.45628725607526
54959.1996541,54959.1996541,-643.7861407734389
54959.2200887,54959.2200887,-83.63496103522439
54959.2405232,54959.2405232,285.9636866026567
54959.2609565,54959.2609565,335.5717340383114
54959.2813926,54959.2813926,385.1797325824864
54959.3018271,54959.3018271,672.9685764337411
54959.3222618,54959.3222618,708.274386316022
54959.3426965,54959.3426965,345.49091926068746
54959.363131,54959.363131,54.52027685373622
54959.3835657,54959.3835657,58.89896427735735
54959.4040004,54959.4040004,146.58266083380843
54959.424435,54959.424435,527.609184263672
54959.4448696,54959.4448696,905.9285565415671
54959.4653042,54959.4653042,947.6916508594351
54959.4857389,54959.4857389,1204.235415892375
54959.5061735,54959.5061735,508.2548781537382
54959.5266081,54959.5266081,156.6390344703336
54959.5470426,54959.5470426,83.51435754232014
54959.5674774,54959.5674774,-822.7854155120523
54959.587912,54959.587912,-1080.8894181945677
54959.6083466,54959.6083466,-923.0977192406478
54959.6287813,54959.6287813,-801.581263079504
54959.6492159,54959.6492159,-573.7249355955513
54959.6696506,54959.6696506,68.70454544314262
54959.6900851,54959.6900851,594.563532007836
54959.7105198,54959.7105198,585.1527605587993
54959.7309545,54959.7309545,290.53379849614396
54959.751389,54959.751389,-182.52042566799767
54959.7718237,54959.7718237,-776.4201581287382
54959.7922583,54959.7922583,-706.2440438480107
54959.8126929,54959.8126929,-459.4783658918841
54959.8331275,54959.8331275,-450.7944381883752
54959.8535622,54959.8535622,-155.77633002273535
54959.8739968,54959.8739968,-477.19333568911964
54959.8944314,54959.8944314,-574.4417326677046
54959.9148661,54959.9148661,-999.3912202375816
54959.9353008,54959.9353008,-1380.0720158589627
54959.9557353,54959.9557353,-1333.8777963597804
54959.9761699,54959.9761699,-861.7143218631687
54959.9966047,54959.9966047,-1005.3037494827464
54960.0170393,54960.0170393,-908.8715080332591
54960.0374738,54960.0374738,-441.4802816383183
54960.0579086,54960.0579086,-275.93943030703406
54960.0783432,54960.0783432,-528.2103152952645
54960.0987777,54960.0987777,-289.9639294951566
54960.1192124,54960.1192124,-649.9343177724016
54960.1396471,54960.1396471,-644.3586915047911
54960.1600817,54960.1600817,-682.8667643706711
54960.1805163,54960.1805163,-712.9146260415916
54960.200951,54960.200951,-403.744177427144
54960.2213856,54960.2213856,-371.3974823994704
54960.2418202,54960.2418202,-428.7703850184687
54960.2622548,54960.2622548,-335.6024364732894
54960.2826895,54960.2826895,-876.1760076876299
54960.3031241,54960.3031241,-671.940448650781
54960.3235587,54960.3235587,-389.06426297383643
54960.3439934,54960.3439934,-124.01062102830315
54960.3644279,54960.3644279,18.968130693889293
54960.3848626,54960.3848626,232.90010788179913
54960.4052972,54960.4052972,485.48292550773226
54960.4257318,54960.4257318,150.36598051474223
54960.4461665,54960.4461665,-61.95857952013844
54960.4666011,54960.4666011,205.99297668580996
54960.4870358,54960.4870358,197.35065435630497
54960.5074704,54960.5074704,-59.403524089864405
54960.527905,54960.527905,-7.620921533011909
54960.5483395,54960.5483395,-69.30155568176409
54960.5687742,54960.5687742,482.49600914726034
54960.5892089,54960.5892089,690.9903691800721
54960.6096435,54960.6096435,934.5016942412425
54960.6300781,54960.6300781,644.5947045615877
54960.6505128,54960.6505128,761.8875869347563
54960.6709474,54960.6709474,750.2677562868419
54960.6913819,54960.6913819,320.84062979835005
54960.7118167,54960.7118167,203.04760668396253
54960.7322513,54960.7322513,807.2581933574326
54960.7526858,54960.7526858,803.2566793898803
54960.7731204,54960.7731204,936.0458193418201
54960.7935552,54960.7935552,644.0236881395658
54960.8139897,54960.8139897,475.3964185671582
54960.8344243,54960.8344243,83.28704217955388
54960.8548591,54960.8548591,-492.60885623406455
54960.8752936,54960.8752936,-372.1586910096079
54960.8957282,54960.8957282,-698.024951867136
54960.9161628,54960.9161628,-640.6125762562134
54960.9365975,54960.9365975,-438.1395254907253
54960.9570321,54960.9570321,123.31577700601827
54960.9774667,54960.9774667,627.8140541144373
54960.9979015,54960.9979015,262.9453687285745
54961.018336,54961.018336,459.4382897982373
54961.0387706,54961.0387706,32.06171814054406
54961.0592051,54961.0592051,-479.7481092819738
