time,time_raw,flux
54958.1774866,54958.1774866,572.2807191084166
54958.1979213,54958.1979213,580.5247342903556
54958.2183559,54958.2183559,576.9393962747154
54958.2387903,54958.2387903,492.3209349879116
54958.259225,54958.259225,532.0352485913991
54958.2796596,54958.2796596,351.1712459574643
54958.3000941,54958.3000941,156.89112567046266
54958.3205287,54958.3205287,121.66211738850512
54958.3409634,54958.3409634,33.8449687994074
54958.3613979,54958.3613979,-59.010371468828325
54958.3818324,54958.3818324,-177.48125553266496
54958.4022671,54958.4022671,-256.0312642638372
54958.4227017,54958.4227017,-317.5678741372263
54958.4431362,54958.4431362,-243.86602930741614
54958.4635708,54958.4635708,-263.65007860665054
54958.4840055,54958.4840055,-343.8659300168056
54958.5044399,54958.5044399,-218.80646670673522
54958.5248745,54958.5248745,-181.63092571751048
54958.5453092,54958.5453092,-223.7444574504758
54958.5657437,54958.5657437,-257.9612098235309
54958.5861783,54958.5861783,-310.1849004989838
54958.6066129,54958.6066129,-319.96684813063825
54958.6270474,54958.6270474,-120.04956096342192
54958.6474821,54958.6474821,-92.4293213298832
54958.6679166,54958.6679166,-166.4184928439088
54958.6883513,54958.6883513,-185.98312407113184
54958.7087859,54958.7087859,-220.67075362610345
54958.7292204,54958.7292204,-216.5314032067554
54958.7496549,54958.7496549,-293.3912797163807
54958.7700896,54958.7700896,-416.8994984010765
54958.7905241,54958.7905241,-612.7330372428365
54958.8109587,54958.8109587,-740.1232851636743
54958.8313934,54958.8313934,-845.2090502205492
54958.8518279,54958.8518279,-957.6155796060264
54958.8722624,54958.8722624,-996.9113318757459
54958.892697,54958.892697,-782.9316828830295
54958.9131316,54958.9131316,-633.8781850986746
54958.9335662,54958.9335662,-407.1058477331652
54958.9540008,54958.9540008,-308.1505524396357
54958.9744355,54958.9744355,-73.95145029346233
54958.9948699,54958.9948699,-6.00390993720787
54959.0153045,54959.0153045,124.39017954533944
54959.035739,54959.035739,84.44373316711018
54959.0561737,54959.0561737,264.87553151759124
54959.0766083,54959.0766083,353.2766132577987
54959.0970428,54959.0970428,690.3284037682624
54959.1174774,54959.1174774,727.9577170278656
54959.137912,54959.137912,872.5378475758466
54959.1583466,54959.1583466,1004.707431114524
54959.1787811,54959.1787811,953.8507107942448
54959.1992158,54959.1992158,1080.762578381473
54959.2196504,54959.2196504,959.3492708944416
54959.2400848,54959.2400848,764.2249156271032
54959.2605181,54959.2605181,543.8504675178483
54959.2809541,54959.2809541,323.47718645768146
54959.3013886,54959.3013886,-25.728116064365672
54959.3218232,54959.3218232,-305.34015905369523
54959.3422579,54959.3422579,-533.6895521189638
54959.3626923,54959.3626923,-640.8075708602317
54959.3831269,54959.3831269,-603.120127894462
54959.4035616,54959.4035616,-529.59290978503
54959.4239962,54959.4239962,-233.14665112388872
54959.4444307,54959.4444307,-78.95535525020186
54959.4648653,54959.4648653,-126.26705306202602
54959.4852999,54959.4852999,-66.73747156434679
54959.5057344,54959.5057344,-88.71892434668412
54959.526169,54959.526169,-218.97811854389036
54959.5466035,54959.5466035,-351.0483276560309
54959.5670382,54959.5670382,-531.3243009016144
54959.5874728,54959.5874728,-614.9489005301407
54959.6079073,54959.6079073,-700.5336449314082
54959.6283419,54959.6283419,-706.3033871355269
54959.6487765,54959.6487765,-651.9467638463312
54959.6692111,54959.6692111,-563.0723231295361
54959.6896456,54959.6896456,-590.057612971678
54959.7100803,54959.7100803,-638.4803789820872
54959.7305148,54959.7305148,-665.1134055164213
54959.7509493,54959.7509493,-786.1729795806559
54959.771384,54959.771384,-918.4409099268826
54959.7918186,54959.7918186,-1154.0240488735528
54959.8122531,54959.8122531,-1298.8256221669005
54959.8326876,54959.8326876,-1454.9976034813858
54959.8531223,54959.8531223,-1605.6779208092294
54959.8735568,54959.8735568,-1675.6463787536197
54959.8939914,54959.8939914,-1673.0785573752369
54959.9144261,54959.9144261,-1620.3902672841548
54959.9348607,54959.9348607,-1496.0901094964106
54959.9552951,54959.9552951,-1303.5419186126858
54959.9757297,54959.9757297,-1344.5207022112327
54959.9961644,54959.9961644,-1338.43816875822
54960.016599,54960.016599,-1234.5105384167973
54960.0370335,54960.0370335,-1185.1151457609615
54960.0574682,54960.0574682,-1096.1926321041428
54960.0779027,54960.0779027,-907.3316358929835
54960.0983372,54960.0983372,-660.4340948163004
54960.1187718,54960.1187718,-452.0752462170045
54960.1392065,54960.1392065,-334.483654219505
54960.1596411,54960.1596411,-135.19563886737512
54960.1800755,54960.1800755,-147.51420184073143
54960.2005102,54960.2005102,-132.4213732243868
54960.2209448,54960.2209448,-271.09857813704787
54960.2413793,54960.2413793,-554.5844443920788
54960.2618139,54960.2618139,-627.4649082536822
54960.2822486,54960.2822486,-855.6080794534186
54960.302683,54960.302683,-1133.0164912555804
54960.3231176,54960.3231176,-1391.4626176223578
54960.3435523,54960.3435523,-1652.7861920392404
54960.3639868,54960.3639868,-1889.5871736062702
54960.3844214,54960.3844214,-2055.267072029989
54960.4048559,54960.4048559,-1994.0050772238653
54960.4252905,54960.4252905,-1997.222965499511
54960.4457251,54960.4457251,-1768.2201514527094
54960.4661597,54960.4661597,-1677.9582432518916
54960.4865944,54960.4865944,-1755.245419037105
54960.5070288,54960.5070288,-1775.6467126364305
54960.5274634,54960.5274634,-1531.3282517560865
54960.5478979,54960.5478979,-1297.228024385815
54960.5683326,54960.5683326,-978.7562226542831
54960.5887672,54960.5887672,-663.0082403342253
54960.6092018,54960.6092018,-440.0242274059862
54960.6296363,54960.6296363,-193.09490805308397
54960.6500709,54960.6500709,8.160870052155992
54960.6705055,54960.6705055,29.010690505692086
54960.69094,54960.69094,130.68477681803415
54960.7113747,54960.7113747,295.71857752834177
54960.7318092,54960.7318092,464.25147281197087
54960.7522437,54960.7522437,532.8892762436152
54960.7726783,54960.7726783,762.4566232662859
54960.793113,54960.793113,849.6789619861268
54960.8135475,54960.8135475,867.2596463216806
54960.833982,54960.833982,713.5470693925141
54960.8544167,54960.8544167,645.9989383150665
54960.8748512,54960.8748512,657.8404176225285
54960.8952858,54960.8952858,649.667187399934
54960.9157204,54960.9157204,981.7585176944859
54960.936155,54960.936155,1042.3367090626512
54960.9565895,54960.9565895,1196.6585696511559
54960.9770241,54960.9770241,1116.1450149109492
54960.9974588,54960.9974588,1117.3856757145395
54961.0178933,54961.0178933,1066.219847364607
54961.0383279,54961.0383279,1179.4760427853275
